####### File dei Quiz, ultima modifica 30/01/23 Marco Bellini########
GA-001	Il Decreto Legislativo 27 gennaio 2010, n. 35, recante attuazione della direttiva 2008/68/CE, disciplina
	1	la nomina del Consulente per il carico di merci pericolose su un aeromobile	F
	2	la nomina del Consulente per il carico di merci pericolose su un carro ferroviario	V
	3	la nomina e la comunicazione del Consulente per il carico di merci pericolose su una nave marittima	F

GA-002	Il Decreto Legislativo 27 gennaio 2010, n. 35, recante attuazione della direttiva 2008/68/CE, si applica:
	1	al carico di merci pericolose in transito doganale presso un aeroporto	F
	2	al riempimento di una cisterna con rifiuti, pericolosi per il trasporto	V
	3	allo scarico di merci non pericolose da un container cisterna	F

GA-003	Il Decreto Legislativo 27 gennaio 2010, n. 35, recante attuazione della direttiva 2008/68/CE, si applica
	1	al trasporto intermodale ferrovia-via navigabile interna di merci pericolose	V
	2	al trasporto intermodale strada-aereo di merci pericolose	V
	3	al trasporto su ferrovia di merci pericolose	V

GA-004	Il Decreto Legislativo 27 gennaio 2010, n. 35, recante attuazione della direttiva 2008/68/CE, si applica:
	1	al ricondizionamento presso l'impresa di merci pericolose contenute in fusti da 200 litri e destinate a un uso esclusivamente interno	F
	2	all'imballaggio di rifiuti, non pericolosi per il trasporto	F
	3	all'imballaggio di rifiuti, pericolosi per il trasporto	V

GA-005	Il Decreto Legislativo 27 gennaio 2010, n. 35, recante attuazione della direttiva 2008/68/CE, definisce le tempistiche per:
	1	la redazione della relazione del Consulente	V
	2	la redazione della relazione d'incidente entro 15 giorni dall'evento	F
	3	la redazione delle procedure dell'impresa concernente le merci pericolose	F

GA-006	Non sono soggette alla nomina del Consulente:
	1	Le imprese che eseguono esclusivamente operazioni di carico e scarico di merci pericolose	F
	2	Le imprese che fanno attività di prevenzione dei rischi per le persone, per i beni o per l'ambiente nel trasporto di merci pericolose	F
	3	Le imprese che trasportano sia merci pericolose sia merci non pericolose	F

GA-007	Qual è l'Autorità Competente preposta alla vigilanza sull'osservanza delle disposizioni per i Consulenti?
	1	Il Comando dei Vigili del Fuoco competente per territorio	F
	2	Il Comando della Polizia Stradale competente per territorio	F
	3	L'Ufficio periferico del MIMS	V

GA-008	Qual è l'Autorità Competente a infliggere le sanzioni ai Consulenti?
	1	La Guardia di Finanza	F
	2	Il Prefetto	V
	3	La Polizia Stradale o Ferroviaria	F

GA-009	Il Consulente:
	1	deve essere necessariamente il legale rappresentante o un dipendente dell'impresa	F
	2	può anche essere un esterno all'impresa purché residente in Italia	F
	3	può essere lo stesso per tutte le sedi operative	V

GA-010	Il Consulente:
	1	può essere lo stesso legale rappresentante dell'impresa tramite un'autocertificazione	F
	2	può essere un dipendente dell'impresa a patto che abbia un'esperienza di almeno 2 anni con la gestione delle merci pericolose	F
	3	può essere una persona esterna all'impresa, indipendentemente dall'esperienza maturata nella gestione delle merci pericolose per il trasporto, purché munito di certificato	V

GA-011	Il Consulente:
	1	può essere lo stesso legale rappresentante dell'impresa	V
	2	può essere un dipendente dell'impresa	V
	3	può essere una persona esterna all'impresa	V

GA-012	Quali sono gli obblighi del legale rappresentante dell'impresa riguardo al Consulente?
	1	Comunicare entro 15 giorni la nomina del Consulente all'Ufficio periferico del MIMS	V
	2	Comunicare entro 60 giorni la nomina del Consulente al più vicino ufficio dei Vigili del fuoco	F
	3	Di nominare uno o più Consulenti per le sedi operative della propria impresa	V

GA-013	L'impresa deve presentare la comunicazione del proprio Consulente a:
	1	Ministero delle infrastrutture e della mobilità sostenibili	F
	2	Ufficio periferico del MIMS nella cui circoscrizione si trova la sede amministrativa	F
	3	Ufficio periferico del MIMS nella cui circoscrizione si trova la sede operativa	V

GA-014	L'impresa con più sedi operative deve presentare la comunicazione del proprio Consulente:
	1	a ciascun Ufficio periferico del MIMS nella cui circoscrizione è presente una sede operativa	V
	2	alla Prefettura nella cui circoscrizione è presente una sede operativa	F
	3	all'Ufficio periferico del MIMS nella cui circoscrizione si trova la propria sede amministrativa	F

GA-015	L'impresa con più sedi operative nella stessa Provincia presenta:
	1	comunicazione separata del Consulente, per ciascuna sede operativa, all'Ufficio periferico del MIMS	V
	2	comunicazione unica, per tutte le sedi operative, del Consulente all'Ufficio periferico del MIMS competente per territorio	F
	3	comunicazione unica, per tutte le sedi operative, del Consulente all'Ufficio periferico del MIMS nella cui circoscrizione si trova la propria sede amministrativa	F

GA-016	Per quali modi di trasporto è possibile conseguire il certificato di Consulente in Italia?
	1	Per il modo marittimo	F
	2	Per il modo navigazione interna	V
	3	Per il modo stradale e/o ferroviario	V

GA-017	Quali sono le specializzazioni ammesse, riguardo alle classi o tipi di merci, per le quali può essere rilasciato il certificato di Consulente?
	1	Classe 1	V
	2	I rifiuti pericolosi classificati ai sensi del Decreto Legislativo n. 152/2006 (Norme in materia ambientale)	F
	3	Le classi 3, 4.1, 4.2, 4.3, 5.1, 5.2, 6.1, 6.2, 8, 9	V

GA-018	Quali sono le specializzazioni ammesse, riguardo alle classi o tipi di merci, per le quali può essere rilasciato il certificato di Consulente?
	1	Classe 2	V
	2	Prodotti petroliferi – Numeri ONU 1202, 1203, 1223, 1268, 1863 e 3475	V
	3	Merci trasportate in cisterna	F

GA-019	Quali sono le specializzazioni ammesse, riguardo alle classi o tipi di merci, per le quali può essere rilasciato il certificato di Consulente?
	1	Classe 7	V
	2	Le classi 3, 4.1, 4.2, 4.3, 5.1, 5.2, 6.1, 6.2, 8, 9	V
	3	Merci trasportati in colli o alla rinfusa	F

GA-020	A proposito dell'esame per il conseguimento del certificato di Consulente:
	1	è possibile utilizzare documenti diversi dai Regolamenti di trasporto nazionali e internazionali	F
	2	la prova scritta può essere integrata da una prova orale	V
	3	possono essere utilizzati dispositivi elettronici se forniti dall'organismo esaminatore	V

GA-021	L'esame per il primo conseguimento del certificato di Consulente:
	1	Consiste in una prova scritta con quiz e studio del caso	V
	2	Consiste sempre in una prova scritta più una prova orale	F
	3	Può essere svolto in modalità elettronica con condizioni definite dall'Autorità Competente	V

GA-022	L'esame di Consulente verte, tra l'altro, sulle seguenti materie:
	1	i requisiti concernenti le attrezzature di trasporto	V
	2	il contratto di trasporto	F
	3	la sicurezza sociale	F

GA-023	Il certificato di Consulente ha validità temporale limitata? Se sì, quale?
	1	No, ha validità illimitata	F
	2	Sì, ha validità limitata a 10 anni	F
	3	Sì, ha validità limitata a 5 anni	V

GA-024	Qual è il campo di validità territoriale del certificato di Consulente?
	1	È limitato soltanto al Paese che l'ha rilasciato	F
	2	È valido in tutti i Paesi che hanno sottoscritto l'Accordo RID/ADR	V
	3	È valido soltanto in tutti i Paesi aderenti all'Unione Europea	F

GA-025	Il campo di validità del certificato di Consulente è limitato al Paese di rilascio?
	1	No, è valido per i Paesi che hanno adottato l'Euro come moneta nazionale	F
	2	No, il certificato di Consulente è valido in tutti i Paesi che hanno sottoscritto l'Accordo RID/ADR	V
	3	Sì	F

GA-026	Il certificato di Consulente rilasciato da un Paese che ha sottoscritto l'Accordo RID o ADR o ADN è valido anche in Italia?
	1	No	F
	2	Sì	V
	3	Solo alla presenza di formale riconoscimento del MIMS	F

GA-027	In che modo può essere rinnovato il certificato di Consulente?
	1	Mediante un attestato del legale rappresentante dell'impresa, da cui risulti che il Consulente ha svolto i suoi compiti per i 5 anni precedenti	F
	2	Mediante un esame da sostenere presso la Prefettura	F
	3	Mediante una prova di controllo da sostenere durante il quinto anno di validità del certificato stesso	V

GA-028	Il certificato di Consulente:
	1	può essere rinnovato alla data di scadenza in Germania, anche se originariamente rilasciato in Italia	V
	2	rilasciato in Svezia ha validità in Italia	V
	3	rilasciato in Svizzera (Paese non UE), per avere validità in Italia è soggetto a procedura amministrativa di riconoscimento	F

GA-029	L'integrazione del certificato di Consulente con nuovo modo (stradale o ferroviaria o vie navigabili interne), in Italia:
	1	è soggetto a studio del caso	F
	2	è soggetto a studio del caso (per la specializzazione) se l'integrazione concerne anche nuova specializzazione	V
	3	non è soggetto a studio del caso	V

GA-030	In caso di estensione del certificato del consulente, durante la sua validità, a una nuova specializzazione o a un nuovo modo di trasporto:
	1	La data di scadenza del certificato originario è aggiornata alla scadenza dell'estensione	F
	2	La data di scadenza dell'estensione determina la scadenza del certificato	F
	3	La data di scadenza dell'estensione è indipendente dalla data di scadenza del certificato originario	F

GA-031	Il Consulente è tenuto a:
	1	depositare il piano di security presso l'Ufficio periferico del MIMS	F
	2	sanzionare l'imprenditore che non ha redatto il piano di security	F
	3	verificare l'esistenza e l'operatività nell'impresa del piano di security	V

GA-032	I compiti del Consulente comprendono:
	1	la verifica dell'esistenza e dell'operatività del piano di security	V
	2	l'accertamento dell'idoneità fisica e morale del personale addetto ai trasporti	F
	3	l'applicazione di procedure d'emergenza adeguate per incidenti nell'esercizio dell'attività produttiva	F

GA-033	I compiti del Consulente comprendono:
	1	la formazione del personale dipendente dell'impresa secondo il capitolo 1.3	F
	2	redigere una relazione straordinaria nel caso in cui l'impresa decida di mettere in spedizione per la prima volta merci pericolose in cisterna o container-cisterna	V
	3	verificare le registrazioni concernenti la formazione del personale dell'impresa	V

GA-034	Quali sono gli obblighi del Consulente?
	1	Comunicare entro 60 giorni la sua nomina al più vicino ufficio dei Vigili del fuoco	F
	2	Redigere le procedure dell'impresa concernente le merci pericolose entro 60 gg. dalla nomina	F
	3	Redigere una relazione di incidente per qualsiasi versamento di merce pericolosa al carico	F

GA-035	Quali sono gli obblighi del Consulente?
	1	Effettuare la formazione del personale dell'impresa entro 60 gg. dalla nomina	F
	2	Redigere una relazione entro 60 gg. dalla nomina	V
	3	Redigere una relazione semestrale da consegnare al legale rappresentante dell'impresa	F

GA-036	Il Consulente deve accertarsi che:
	1	dopo il riempimento della cisterna non vi siano perdite	F
	2	dopo il riempimento della cisterna tutte le chiusure siano in posizione chiusa	F
	3	il riempitore abbia stabilito delle procedure per verificare il corretto funzionamento delle chiusure della cisterna	V

GA-037	Il Consulente deve accertarsi che:
	1	dopo lo svuotamento della cisterna non vi siano perdite	F
	2	dopo lo svuotamento della cisterna tutte le chiusure siano in posizione chiusa	F
	3	lo scaricatore abbia stabilito delle procedure per verificare il corretto funzionamento delle chiusure della cisterna	V

GA-038	Il Consulente:
	1	deve addestrare personalmente le persone addette al carico e scarico di merci pericolose	F
	2	deve partecipare obbligatoriamente ai corsi di formazione erogati al personale interessato nelle sedi operative nelle quali è stato nominato	F
	3	deve verificare che la formazione obbligatoria descritta nel Capitolo 1.3 è stata erogata al personale coinvolto nel carico e scarico di merci pericolose	V

GA-039	Il Consulente:
	1	deve classificare le merci pericolose presenti nelle sedi operative nelle quali è stato nominato	F
	2	deve verificare che vi sia una procedura/prassi di identificazione delle merci pericolose nelle sedi nelle quali è stato nominato	V
	3	deve verificare l'esistenza di una procedura/prassi di identificazione dei rifiuti pericolosi che siano anche merci pericolose perché di competenza del responsabile tecnico dei rifiuti	V

GA-040	Il Consulente:
	1	nel caso di danni ambientali occorsi per il versamento di rifiuti pericolosi liquidi può delegare la redazione della relazione di incidente al responsabile tecnico dei rifiuti	F
	2	nel caso di danni occorsi a persone può delegare la redazione della relazione di incidente al medico competente della sede operativa nella quale è accaduto l'evento	F
	3	nel caso di danni provocati dall'incendio di liquidi infiammabili può delegare la redazione della relazione di incidente al Comando dei Vigili del Fuoco intervenuti per lo spegnimento dell'incendio	F

GA-041	Se non intervengono eventi modificativi delle prassi e procedure dell'impresa, con che periodicità il Consulente è tenuto a redigere la relazione diretta al legale rappresentante dell'impresa?
	1	Annualmente	V
	2	Entro febbraio dell'anno successivo	V
	3	Ogni 6 mesi	F

GA-042	Qual è lo scopo della relazione annuale diretta al legale rappresentante dell'impresa, che il Consulente è tenuto a redigere?
	1	Erogare sanzioni al legale rappresentante dell'impresa	F
	2	Indicare al legale rappresentante dell'impresa eventuali modifiche procedurali, in altre parole strutturali, necessarie per l'osservanza delle norme in materia di trasporto, carico e scarico di merci pericolose, e per lo svolgimento dell'attività dell'impresa in condizioni ottimali di sicurezza	V
	3	Indicare al legale rappresentante dell'impresa il modo più economico per organizzare le operazioni di trasporto, carico e scarico delle merci pericolose	F

GA-043	Chi è il destinatario della relazione annuale, che il Consulente è tenuto a redigere?
	1	Il legale rappresentante dell'impresa	V
	2	Il Prefetto	F
	3	L'Ufficio periferico del MIMS	F

GA-044	Quali sono gli obblighi del legale rappresentante dell'impresa riguardo alla relazione annuale consegnatagli dal Consulente?
	1	A richiesta, metterla a disposizione dell'Ufficio periferico del MIMS	V
	2	Conservarla per almeno 2 anni	F
	3	Conservarla per almeno 5 anni	V

GA-045	La relazione annuale deve essere redatta
	1	entro febbraio dell'anno successivo	V
	2	entro l'anno dalla nomina del Consulente	F
	3	quando è richiesta dall'Ufficio periferico del MIMS	F

GA-046	La relazione annuale deve essere redatta:
	1	annualmente, entro febbraio dell'anno successivo a quello di riferimento	V
	2	entro il 31 dicembre di ogni anno	F
	3	quando intervengono eventi modificativi a livello di prassi, procedure, norme in materia di trasporto, carico e scarico di merci pericolose	V

GA-047	Il Consulente redige la relazione per la verifica delle prassi e delle procedure concernenti le attività dell'impresa:
	1	entro 60 giorni dalla nomina e in seguito annualmente, ai sensi del Decreto Legislativo 27 gennaio 2010, n. 35	V	
	2	quando intervengano modifiche normative nel trasporto, carico e scarico di merci pericolose o delle prassi e procedure gestionali poste alla base della relazione stessa e in seguito annualmente	V
	3	su richiesta dell'Ufficio periferico del MIMS	F

GA-048	Se intervengono eventi modificativi delle prassi e procedure dell'impresa, che cosa è tenuto a fare il Consulente?
	1	Avvisare l'autorità preposta alla vigilanza che le prassi dell'impresa sono cambiate	F
	2	Diffidare il legale rappresentante dell'impresa affinché ripristini immediatamente le prassi precedenti	F
	3	Redigere una relazione straordinaria diretta al legale rappresentante dell'impresa	V

GA-049	Il Consulente deve presentare la relazione annuale a:
	1	Legale rappresentante dell'impresa	V
